Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
2.425.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2025,6.001 km,Otomatik,Benzin,SUV,Gri,,,Önden Çekiş,,,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.900.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum Premium,2025,16.000 km,Otomatik,Benzin,SUV,Gri,,,4WD (Sürekli),,,Belirtilmemiş,Sahibinden,-,-,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,,,,,,,,,,,,,,,,,,,,,,
1.150.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Platinum Premium Pack,2015,265.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,260 nm,4000 rpm,1750 rpm,"12,4 sn",180 km/s,"3,8 lt","4,2 lt","3,6 lt",4379 mm,1800 mm,1590 mm,1910 kg,1365 kg,5.0,401 lt,225/45 R19,2646.0
1.240.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2014,196.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,3 boyalı,Sahibinden,-,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Ön Çamurluk,-,Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2014 - 2017,H Segment,17.977TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,215/60 R17,2646.0
690.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna,2011,305.000 km,Düz,Dizel,SUV,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 değişen,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Arka Kaput,-,,,,,,,,,,,,,,,,,,,,,,
1.329.900TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2021,43.500 km,Yarı Otomatik,Benzin,SUV,Mavi (metalik),999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Arka Kaput,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
850.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 Tekna,2008,199.887 km,Düz,Benzin,SUV,Gri,1598 cc,115 hp,Önden Çekiş,"6,7 lt",65 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk,-,Ön Tampon Arka Tampon,-,-,2007 - 2014,I Segment,13.348TL,11.525TL,4.0,156 nm,6000 rpm,4400 rpm,12 sn,175 km/s,"6,7 lt","8,4 lt","5,7 lt",4315 mm,1780 mm,1615 mm,1830 kg,1297 kg,5.0,410 lt,215/65 R16,2630.0
2.269.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum Premium Pack,2022,27.000 km,Otomatik,Benzin,-,Bordo,1201 - 1400 cm3,151 - 175 HP,-,,,1 lokal boyalı,Galeriden,-,Sol Arka Çamurluk,-,-,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,,,,,,,,,,,,,,,,,,,,,,
1.499.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Platinum,2024,39.000 km,Yarı Otomatik,Benzin,SUV,Füme,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,16.173TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,225/45 R19,2636.0
1.545.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2025,26.500 km,Yarı Otomatik,Benzin,SUV,Bordo,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,2 lokal boyalı,Galeriden,Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Çamurluk Sağ Arka Kapı,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
1.485.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2024,17.000 km,Yarı Otomatik,Benzin,SUV,Gri,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
1.425.000TL,26 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,120.000 km,Otomatik,Dizel,SUV,Siyah,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Ön Tampon Arka Tampon,-,Motor Kaputu Sol Ön Çamurluk,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
849.950TL,26 Şubat 2026,Nissan,Juke,1.5 dCi Special Edition,2016,199.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,4 lt,46 lt,"2 boyalı, 1 lokal boyalı",Galeriden,Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Çamurluk,Sağ Arka Kapı Sol Ön Kapı,-,-,2014 - 2019,B Segment,14.518TL,12.752TL,4.0,260 nm,4000 rpm,2750 rpm,"11,2 sn",175 km/s,4 lt,"4,6 lt","3,7 lt",4135 mm,1765 mm,1565 mm,1770 kg,1305 kg,5.0,354 lt,225/45 R18,2530.0
1.779.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2022,135.000 km,Otomatik,Hibrit,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.349.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,16.040 km,Otomatik,Benzin,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.390.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2016,110.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2015 - 2017,H Segment,17.538TL,12.022TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,225/45 R19,2646.0
1.700.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Sky Pack,2018,67.000 km,Düz,Dizel,SUV,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.035.000TL,26 Şubat 2026,Nissan,Juke,1.6 Skypack,2017,91.000 km,Otomatik,Benzin,Crossover,Bordo,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,5 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Kapı Sağ Ön Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu,-,-,,,,,,,,,,,,,,,,,,,,,,
979.000TL,26 Şubat 2026,Nissan,Juke,1.5 dCi Black Edition,2016,129.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,4 lt,46 lt,4 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,Sağ Arka Kapı Sol Arka Kapı Sol Ön Kapı Sol Ön Çamurluk,-,-,-,2014 - 2017,B Segment,14.518TL,13.654TL,4.0,260 nm,4000 rpm,2750 rpm,"11,2 sn",175 km/s,4 lt,"4,6 lt","3,7 lt",4135 mm,1765 mm,1565 mm,1770 kg,1305 kg,5.0,354 lt,205/60 R16,2530.0
1.699.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Tekna,2020,35.385 km,Yarı Otomatik,Benzin,SUV,Gri,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,16.546TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
1.499.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2024,39.935 km,Yarı Otomatik,Benzin,SUV,Kırmızı,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,1 boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
2.610.000TL,26 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum Premium,2023,80.000 km,Otomatik,Benzin,SUV,Beyaz,1497 cc,213 hp,4WD (Sürekli),"6,3 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,7 sn,180 km/s,"6,3 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,5.0,575 lt,235/55 R19,2705.0
1.625.000TL,26 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2017,163.000 km,Otomatik,Dizel,SUV,Siyah,1601 - 1800 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
870.000TL,26 Şubat 2026,Nissan,Juke,1.5 dCi Skypack,2018,79.000 km,Düz,Dizel,SUV,Gri,1461 cc,110 hp,Önden Çekiş,4 lt,46 lt,"1 değişen, 11 boyalı",Galeriden,Tavan,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Ön Çamurluk,-,2014 - 2019,B Segment,14.518TL,13.654TL,4.0,260 nm,4000 rpm,2750 rpm,"11,2 sn",175 km/s,4 lt,"4,6 lt","3,7 lt",4135 mm,1765 mm,1565 mm,1770 kg,1305 kg,5.0,354 lt,205/60 R16,2530.0
2.649.900TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum,2025,7.000 km,Otomatik,Benzin,SUV,Gri,1332 cc,158 hp,Önden Çekiş,"6,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,H Segment,18.751TL,15.591TL,4.0,270 nm,5500 rpm,1800 rpm,"9,2 sn",199 km/s,"6,4 lt","7,9 lt","5,4 lt",4425 mm,1848 mm,1625 mm,1981 kg,1450 kg,5.0,449 lt,235/50 R19,2665.0
2.280.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,10.000 km,Otomatik,Benzin,SUV,Mavi,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.405.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 dCi Black Edition,2017,135.000 km,Otomatik,Dizel,SUV,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Ön Kapı,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.195.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 e-Power Sky Pack,2023,33.000 km,Otomatik,Hibrit,SUV,Beyaz,1497 cc,190 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2022 - 2024,H Segment,16.769TL,11.457TL,3.0,330 nm,5500 rpm,1800 rpm,"7,9 sn",170 km/s,"5,4 lt",,,4425 mm,1835 mm,1625 mm,2242 kg,1686 kg,5.0,452 lt,235/55 R18,2665.0
1.370.000TL,26 Şubat 2026,Nissan,Qashqai,1.5 dCi Sky Pack,2017,130.000 km,Düz,Dizel,SUV,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,Sol Ön Çamurluk,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.410.000TL,26 Şubat 2026,Nissan,Juke,1.0 DIG-T Tekna,2024,44.006 km,Yarı Otomatik,Benzin,SUV,Füme,999 cc,115 hp,Önden Çekiş,"5,2 lt",46 lt,3 boyalı,Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon,-,Arka Kaput Sağ Arka Kapı Arka Tampon,-,-,2020 - 2024,B Segment,11.957TL,10.795TL,3.0,200 nm,5250 rpm,3000 rpm,"11,8 sn",180 km/s,"5,2 lt","5,9 lt","4,8 lt",4210 mm,1800 mm,1595 mm,,1187 kg,5.0,422 lt,215/60 R17,2636.0
1.399.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Visia,2020,152.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,15.261TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
2.765.000TL,26 Şubat 2026,Nissan,X-Trail,1.5 e-4ORCE Platinum Premium,2023,70.000 km,Otomatik,Hibrit,SUV,Lacivert,1497 cc,213 hp,4WD (Sürekli),"6,5 lt",55 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Kapı Sol Ön Kapı,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,"7,2 sn",180 km/s,"6,5 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,7.0,485 lt,235/55 R19,2705.0
3.399.950TL,26 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum Premium,2025,6.150 km,Otomatik,Benzin,SUV,Gri,1497 cc,213 hp,4WD (Sürekli),"6,3 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,7 sn,180 km/s,"6,3 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,5.0,575 lt,235/55 R19,2705.0
1.350.000TL,26 Şubat 2026,Nissan,Qashqai,1.6 dCi Tekna,2018,165.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.625.000TL,26 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2019,72.000 km,Yarı Otomatik,Benzin,SUV,Siyah,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,16.546TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
1.165.000TL,19 Şubat 2026,Nissan,Qashqai,1.6 dCi Visia,2016,195.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,215/65 R16,2646.0
1.245.000TL,19 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,182.000 km,Otomatik,Dizel,SUV,Yeşil,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,"2 değişen, 4 boyalı",Galeriden,Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Sağ Ön Çamurluk,Arka Kaput Sol Arka Çamurluk,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
762.500TL,19 Şubat 2026,Nissan,Juke,1.6 Sport Pack,2013,140.000 km,Otomatik,Benzin,SUV,Beyaz,1598 cc,117 hp,Önden Çekiş,"6,3 lt",46 lt,3 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu,-,-,2010 - 2014,B Segment,16.754TL,12.811TL,4.0,158 nm,6000 rpm,4000 rpm,"11,5 sn",170 km/s,"6,3 lt","8,3 lt","5,2 lt",4135 mm,1765 mm,1570 mm,1649 kg,1225 kg,5.0,251 lt,215/55 R17,2530.0
999.750TL,19 Şubat 2026,Nissan,Juke,1.5 dCi Skypack,2018,65.250 km,Düz,Dizel,SUV,Bordo,1461 cc,110 hp,Önden Çekiş,4 lt,46 lt,"1 değişen, 1 boyalı, 1 lokal boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Sol Ön Çamurluk Ön Tampon Arka Tampon,Motor Kaputu,Sol Arka Kapı,Sol Ön Kapı,-,2014 - 2019,B Segment,14.518TL,13.654TL,4.0,260 nm,4000 rpm,2750 rpm,"11,2 sn",175 km/s,4 lt,"4,6 lt","3,7 lt",4135 mm,1765 mm,1565 mm,1770 kg,1305 kg,5.0,354 lt,205/60 R16,2530.0
